"post_week","metro_name","job_count","nm_rank"
"2019-05-06","New York",31,1
"2019-05-06","Los Angeles",23,2
"2019-05-06","San Francisco - Oakland - San Jose",22,3
"2019-05-06","Minneapolis - Saint Paul",16,4
"2019-05-06","Miami - Fort Lauderdale",7,5
"2019-04-29","Los Angeles",48,1
"2019-04-29","New York",46,2
"2019-04-29","San Francisco - Oakland - San Jose",43,3
"2019-04-29","Minneapolis - Saint Paul",22,4
"2019-04-29","Philadelphia",12,5
"2019-04-22","San Francisco - Oakland - San Jose",44,1
"2019-04-22","New York",38,2
"2019-04-22","Los Angeles",35,3
"2019-04-22","Minneapolis - Saint Paul",18,4
"2019-04-22","Chicago",14,5
"2019-04-15","San Francisco - Oakland - San Jose",39,1
"2019-04-15","New York",34,2
"2019-04-15","Los Angeles",33,3
"2019-04-15","Minneapolis - Saint Paul",19,4
"2019-04-15","Chicago",14,5
"2019-04-08","San Francisco - Oakland - San Jose",53,1
"2019-04-08","New York",49,2
"2019-04-08","Los Angeles",40,3
"2019-04-08","Minneapolis - Saint Paul",39,4
"2019-04-08","Boston (Manchester)",9,5
"2019-04-01","New York",47,1
"2019-04-01","San Francisco - Oakland - San Jose",40,2
"2019-04-01","Los Angeles",37,3
"2019-04-01","Sacramento - Stockton - Modesto",12,4
"2019-04-01","Minneapolis - Saint Paul",11,5
"2019-03-25","San Francisco - Oakland - San Jose",55,1
"2019-03-25","New York",54,2
"2019-03-25","Los Angeles",41,3
"2019-03-25","Minneapolis - Saint Paul",26,4
"2019-03-25","Boston (Manchester)",10,5
"2019-03-18","San Francisco - Oakland - San Jose",45,1
"2019-03-18","New York",42,2
"2019-03-18","Los Angeles",34,3
"2019-03-18","Minneapolis - Saint Paul",18,4
"2019-03-18","Dallas - Fort Worth",5,5
"2019-03-11","San Francisco - Oakland - San Jose",44,1
"2019-03-11","New York",31,2
"2019-03-11","Los Angeles",31,3
"2019-03-11","Minneapolis - Saint Paul",12,4
"2019-03-11",,8,5
"2019-03-04","Los Angeles",45,1
"2019-03-04","New York",44,2
"2019-03-04","San Francisco - Oakland - San Jose",34,3
"2019-03-04",,20,4
"2019-03-04","Chicago",10,5
"2019-02-25","San Francisco - Oakland - San Jose",39,1
"2019-02-25","New York",39,2
"2019-02-25","Los Angeles",35,3
"2019-02-25",,24,4
"2019-02-25","San Diego",5,5
"2019-02-18","San Francisco - Oakland - San Jose",44,1
"2019-02-18","Los Angeles",42,2
"2019-02-18","New York",39,3
"2019-02-18",,22,4
"2019-02-18","Washington DC (Hagerstown)",6,5
"2019-02-11","San Francisco - Oakland - San Jose",36,1
"2019-02-11","New York",33,2
"2019-02-11","Los Angeles",30,3
"2019-02-11",,17,4
"2019-02-11","Chicago",8,5
"2019-02-04","San Francisco - Oakland - San Jose",53,1
"2019-02-04","New York",45,2
"2019-02-04","Los Angeles",30,3
"2019-02-04",,17,4
"2019-02-04","Chicago",4,5
"2019-01-28","New York",53,1
"2019-01-28","San Francisco - Oakland - San Jose",49,2
"2019-01-28","Los Angeles",35,3
"2019-01-28",,33,4
"2019-01-28","Chicago",9,5
"2019-01-21","San Francisco - Oakland - San Jose",49,1
"2019-01-21","New York",41,2
"2019-01-21","Los Angeles",32,3
"2019-01-21",,16,4
"2019-01-21","San Diego",10,5
"2019-01-14","San Francisco - Oakland - San Jose",56,1
"2019-01-14","New York",38,2
"2019-01-14","Los Angeles",34,3
"2019-01-14",,14,4
"2019-01-14","Chicago",10,5
"2019-01-07","New York",60,1
"2019-01-07","Los Angeles",39,2
"2019-01-07","San Francisco - Oakland - San Jose",37,3
"2019-01-07",,19,4
"2019-01-07","Chicago",6,5
"2018-12-31","San Francisco - Oakland - San Jose",32,1
"2018-12-31","New York",28,2
"2018-12-31","Los Angeles",27,3
"2018-12-31",,11,4
"2018-12-31","Boston (Manchester)",8,5
"2018-12-24","New York",28,1
"2018-12-24","San Francisco - Oakland - San Jose",20,2
"2018-12-24","Los Angeles",16,3
"2018-12-24",,11,4
"2018-12-24","Miami - Fort Lauderdale",2,5
"2018-12-17","San Francisco - Oakland - San Jose",30,1
"2018-12-17","New York",30,2
"2018-12-17","Los Angeles",13,3
"2018-12-17",,12,4
"2018-12-17","Atlanta",4,5
"2018-12-10","San Francisco - Oakland - San Jose",45,1
"2018-12-10","New York",36,2
"2018-12-10","Los Angeles",19,3
"2018-12-10",,12,4
"2018-12-10","Chicago",9,5
"2018-12-03","San Francisco - Oakland - San Jose",53,1
"2018-12-03","New York",30,2
"2018-12-03","Los Angeles",27,3
"2018-12-03","Washington DC (Hagerstown)",6,4
"2018-12-03","Chicago",6,5
"2018-11-26","San Francisco - Oakland - San Jose",61,1
"2018-11-26","New York",35,2
"2018-11-26","Los Angeles",23,3
"2018-11-26","Chicago",6,4
"2018-11-26","Washington DC (Hagerstown)",3,5
"2018-11-19","San Francisco - Oakland - San Jose",30,1
"2018-11-19","New York",29,2
